name,lat,lng,address,province,city,area,uid,tag1,tag2
南京三中图书馆,32.030262391887575,118.800264,江苏省南京市秦淮区白下路193号,江苏省,南京市,秦淮区,5a4d4633c4004d1de7e96545,教育培训,图书馆
秦汉胡同国学书院(熙南里分馆),32.02736517312417,118.788292,江苏省南京市秦淮区中山南路396号,江苏省,南京市,秦淮区,ea1023242d6d1220250bd001,教育培训,培训机构
南京图书馆,32.04402218960236,118.802104,南京市玄武区梅园新村街道大行宫社区中山东路189号,江苏省,南京市,玄武区,cde9e2c7b946c1ade81e971a,教育培训,图书馆
南京老图书馆,32.053248930636684,118.802097,江苏省南京市玄武区成贤街66-5,江苏省,南京市,玄武区,afac929041adb7d04c776e55,教育培训,图书馆
图书馆,32.080683910131064,118.820846,南京市玄武区龙蟠路159号南京林业大学内,江苏省,南京市,玄武区,cd34e04e9039f5f29ee321be,教育培训,图书馆
周恩来图书馆,32.044360677959276,118.808205,梅园新村18号,江苏省,南京市,玄武区,cb4fd1468f7c15419d9d68ec,教育培训,图书馆
金陵图书馆24小时自助图书馆,32.046629976708374,118.79421,江苏省南京市玄武区长江路101号,江苏省,南京市,玄武区,a9f902842eb0db426e20b998,教育培训,图书馆
金隆图书馆红山街道分馆,32.10523051722823,118.841945,南京市玄武区广贤路雯锦雅苑东侧约150米,江苏省,南京市,玄武区,bc3c7f4d987e0b483ce231c9,教育培训,图书馆
南京林业大学新图书馆,32.07938642863638,118.824101,江苏省南京市玄武区龙蟠路159号,江苏省,南京市,玄武区,a5ef680f6af005d7b9df8fed,教育培训,图书馆
东南大学-图书馆(中央大道),32.056481624286896,118.80006,江苏省南京市玄武区四牌楼2号,江苏省,南京市,玄武区,748dc262ae78315c0f0a7049,教育培训,图书馆
南京农业大学(卫岗校区)-图书馆,32.03553345828855,118.851224,南京市玄武区卫岗1号南京农业大学,江苏省,南京市,玄武区,e116be542bb30f7bc91b954a,教育培训,图书馆
图书馆,32.062374361525,118.801432,古鸡鸣寺路1号古鸡鸣寺内,江苏省,南京市,玄武区,4c96ba6b405c9ca91288242b,教育培训,图书馆
南京体育学院-图书馆,32.04300739196268,118.874861,灵谷寺路8号,江苏省,南京市,玄武区,812c5991ba5103d57ab55c46,教育培训,图书馆
中文图书借阅(南京图书馆),32.04354898293118,118.802188,中山东路189号南京图书馆F2层,江苏省,南京市,玄武区,920ac0ecc862673dc41e5159,教育培训,图书馆
南京图书馆-24小时自助图书馆,32.04377790434234,118.802619,江苏省南京市玄武区中山东路189号南京图书馆东门负1楼,江苏省,南京市,玄武区,18eb257d07bed53933621200,教育培训,图书馆
南京市玄武区少年儿童图书馆,32.052743912587395,118.803565,玄武区太平北路120-2号(近宏图三胞),江苏省,南京市,玄武区,d86fddc31e2cf7d422f017d1,教育培训,图书馆
南京博物院-图书馆,32.04349659746424,118.832084,南京市玄武区中山东路321号南京博物院内,江苏省,南京市,玄武区,5fce299c02f1090e6ca3cc46,教育培训,图书馆
南京林业大学-教学八楼图书馆,32.07965208198352,118.824135,南京市玄武区创新路南京林业大学,江苏省,南京市,玄武区,6b640499bd60086bbbbd63ae,教育培训,图书馆
图书馆,32.04550354732927,118.815424,南京市玄武区黄埔路东部战区总医院,江苏省,南京市,玄武区,80e115309aff84a3b05c6a6e,教育培训,图书馆
图书馆,32.06062672190743,118.811641,南京市玄武区九华山路九华山公园西南侧约180米,江苏省,南京市,玄武区,f6e9c8919e9b85acad080ffa,教育培训,图书馆
总统府图书馆,32.047166479707585,118.803275,南京市玄武区长江路292号总统府内,江苏省,南京市,玄武区,2051822d42eab7e92b201a38,教育培训,图书馆
南京共享图书馆书服到家线下借还取书点(玄武湖解放门点),32.06459685925039,118.804208,南京市玄武区环湖路南京市人民政府北侧约240米,江苏省,南京市,玄武区,0fc8d1e606efe757a20464e5,教育培训,图书馆
南京图书馆古籍部,32.04433178830625,118.802659,江苏省南京市玄武区中山东路189东门4楼,江苏省,南京市,玄武区,55fa2c0b43569b2e1ce9990f,教育培训,图书馆
东南大学四牌楼校区-交通学院图书分馆,32.05722228856053,118.796384,进香河路35东南大学四牌楼校区西区综合楼东楼1楼,江苏省,南京市,玄武区,5593e38c1f093cdc8bfc06b3,教育培训,图书馆
亲近母语学堂樱洲书房,32.075028760474176,118.799939,南京市玄武区玄武巷1号玄武湖公园樱洲岛西北角(进玄武门直行300米左转400米即到),江苏省,南京市,玄武区,cc681c29be9503c440e1928b,教育培训,培训机构
德语资料区(南京图书馆),32.04351572581997,118.802286,中山东路189号南京图书馆F4层,江苏省,南京市,玄武区,a7fa5e40ccb49eae0782c2f8,教育培训,其他
培训教室(南京图书馆),32.043791583886076,118.801642,江苏省南京市玄武区中山东路189号南京图书馆B1层,江苏省,南京市,玄武区,e75279fd8a638e8db13c816c,教育培训,培训机构
南京林业大学休闲阅览室,32.0813293466449,118.821134,南京市玄武区梁希路南京林业大学,江苏省,南京市,玄武区,38ed4e7fd5c1bbb4cd04efdc,教育培训,其他
南京图书馆-东侧入口,32.04451348182423,118.802797,中山东路189号东门,江苏省,南京市,玄武区,0450594f7fdf617dd72ce277,教育培训,图书馆
栖霞区图书馆,32.130472233529176,118.88967,江苏省南京市栖霞区尧辰路与新城路交叉口西南200米,江苏省,南京市,栖霞区,2130b65b62795e6d2102200e,教育培训,图书馆
南京图书馆(钟山学院分馆),32.04785422175005,118.896854,马群街169号钟山学院内,江苏省,南京市,栖霞区,7c7cafffd5e3a12232870a69,教育培训,图书馆
南京大学(仙林校区)-杜厦图书馆,32.11598308383408,118.967261,栖霞区仙林大道163号南京大学仙林校区内,江苏省,南京市,栖霞区,cb4fd1464cabd03f9c9d68bb,教育培训,图书馆
敬文图书馆,32.10498247386223,118.951702,仙林大道138南京中医药大学内,江苏省,南京市,栖霞区,2101fff831b80f6826d2bb4f,教育培训,图书馆
南京师范大学(仙林校区)-敬文图书馆,32.10580918391439,118.91757,江苏省南京市栖霞区文苑路1号,江苏省,南京市,栖霞区,81e7edacd5b2b8d6861541a0,教育培训,图书馆
青年图书馆,32.11672051381677,118.838172,南京市栖霞区迈化路弘阳家居(迈皋桥店)西侧,江苏省,南京市,栖霞区,c00bd9f6f386c21261685868,教育培训,图书馆
南京邮电大学(仙林校区)-图书馆,32.114124050797386,118.938184,文苑路9号南京邮电大学仙林校区,江苏省,南京市,栖霞区,1fdc798f81288f75c909f08a,教育培训,图书馆
摄山星城小区-图书馆,32.143471384214834,119.010998,南京市栖霞区摄山路南京市摄山星城小学西南侧约80米,江苏省,南京市,栖霞区,ec97dd8833ff874fc17da2c8,教育培训,图书馆
