longitude,latitude,address,province,level,time,new_case
123.4737899,41.80495591,沈阳市大东区珠林路50—15号楼,辽宁,中风险,2021年7月31日19时,否
121.5959708,39.00470446,大连市甘井子区泉水街道A4区27号楼,辽宁,中风险,2021年7月31日19时,否
110.5318523,29.34297941,张家界市武陵源区军地坪街道,湖南,中风险,2021年7月31日19时,否
110.4740564,29.12940631,张家界市永定区永定街道,湖南,中风险,2021年7月31日19时,否
110.4825803,29.13132993,张家界市永定区崇文街道,湖南,中风险,2021年7月31日19时,否
110.4635292,29.11150163,张家界市永定区南庄坪街道,湖南,中风险,2021年7月31日19时,否
110.4794932,29.10801877,张家界市永定区官黎坪街道,湖南,中风险,2021年7月31日19时,否
110.474057,29.11986372,张家界市水定区后坪街道,湖南,中风险,2021年7月31日19时,否
110.5332213,29.12302982,张家界市永定区沙堤街道,湖南,中风险,2021年7月31日19时,否
110.4336867,29.13451049,张家界市永定区大庸桥街道,湖南,中风险,2021年7月31日19时,否
110.5335322,29.12092226,张家界市永定区西溪坪街道,湖南,中风险,2021年7月31日19时,否
110.5332213,29.12302982,张家界市永定区阳湖坪街道,湖南,中风险,2021年7月31日19时,否
110.5332213,29.12302982,张家界市永定区枫香岗街道,湖南,中风险,2021年7月31日19时,否
112.9653653,28.15372959,长沙市天心区赤岭路街道乾城嘉园,湖南,中风险,2021年7月31日19时,是
112.565321,28.31030487,宁乡市城郊街道馨宁新村小区,湖南,中风险,2021年7月31日19时,是
112.5631235,28.28322955,宁乡市城郊街道未来方舟小区2号栋,湖南,中风险,2021年7月31日19时,是
113.1640856,27.89793296,株洲市云龙示范区学林街道学府华庭小区,湖南,中风险,2021年7月31日19时,是
113.1559392,27.91370203,株洲市云龙示范区学林街道学府港湾小区,湖南,中风险,2021年7月31日19时,是
113.1538151,27.87323673,株洲市云龙示范区学林街道锦绣香江小区,湖南,中风险,2021年7月31日19时,是
113.1599495,27.89635375,株洲市云龙示范区学林街道大丰安置房,湖南,中风险,2021年7月31日19时,是
109.8472246,28.48858962,湘西土家族苗族自治州古丈县默戎镇墨戎苗寨,湖南,中风险,2021年7月31日19时,是
109.7363541,28.32784312,湘西土家族苗族自治州吉首市峒河街道办事处五里牌社区公租房小区,湖南,中风险,2021年7月31日19时,是
112.3848909,28.56015119,益阳市赫山区赫山街道铂金汉宫小区二栋、七栋,湖南,中风险,2021年7月31日19时,是
118.1612826,24.47044652,厦门市思明区莲前街道源泉山庄A区(前埔六里1-20),福建,中风险,2021年7月31日19时,是
114.7040592,31.14890157,黄冈市红安县永佳河镇,湖北,中风险,2021年7月31日19时,是
